Post Id,Scrape Date,Item nr,Main category,Subcategory,Post title,Post date,Vendor,New Post,Positive feedback,Level seller,Level trust,Sales vendor,Verified vendor,Trusted vendor,Views,Sales,Quantity left,Autodispatch, Price USD, Price BTC 
1,Aug 05 2019,#17259,Fraud,Accounts & Bank Drops,10 US Verified Paypal Accounts,Jul 28 2019,Dr.Whit3,2,100.0%,0,0,13,2,2,201, 0 ,Unlimited,no,10.09 USD,0.00085600 BTC 
2,Aug 05 2019,#16836,Fraud,Accounts & Bank Drops,HQ WELLS FARGO BANK DROP,Jul 26 2019,Newron,2,100.0%,0,0,0,2,2,261, 0 ,Unlimited,no,120.00 USD,0.01018407 BTC 
3,Aug 05 2019,#14234,Fraud,Other,Guide: Skimming Successfully And Protecting Yourself [High Quality],Jun 28 2019,wfowfo,2,100.0%,0,0,1,1,2,829, 0 ,Unlimited,no,11.76 USD,0.00099804 BTC 
4,Aug 05 2019,#14029,Fraud,Other,Cashout Websites | Custom-made | 100% Success Rate,Jun 25 2019,dp2015,2,100.0%,0,0,0,1,1,955, 0 ,Unlimited,no,175.00 USD,0.01485177 BTC 
5,Aug 05 2019,#7344,Fraud,Accounts & Bank Drops,HOW GET VBA/ VCC/OFFSHORE BANK + BONUS,May 09 2019,Hackyboy,2,100.0%,0,0,26,1,1,850, 0 ,Unlimited,no,5.00 USD,0.00042434 BTC 
6,Aug 05 2019,#14088,Fraud,CVV & Cards,CC NO VBV + Carding Guides,Jun 26 2019,Pegasus,2,100.0%,0,0,10,2,2,974, 2 ,42,no,12.00 USD,0.00101841 BTC 
7,Aug 05 2019,#7019,Fraud,Personal Informations & Scans,Megapack of documents and currency templates,Apr 14 2019,g3cko,2,100.0%,2,1,236,2,2,7431, 16 ,Unlimited,no,2.08 USD,0.00017652 BTC 
8,Aug 05 2019,#18162,Fraud,Accounts & Bank Drops,VERIZON ACCOUNTS + WITH FULL INFO,Aug 04 2019,shreateh,2,100.0%,0,0,0,1,2,43, 0 ,Unlimited,no,30.00 USD,0.00254602 BTC 
9,Aug 05 2019,#5124,Fraud,CVV & Cards,ITALIAN HIGH BALANCE FULLZ GOLD/BUSINESS/CORPORATE/GREEN/PREMIER,Aug 18 2018,SUDO,2,100.0%,4,5,1816,1,1,12464, 46 ,Unlimited,no,22.41 USD,0.00190223 BTC 
10,Aug 05 2019,#16457,Fraud,CVV & Cards,CVV to Moneygram 100% success,Jul 25 2019,careersclap,2,100.0%,0,0,7,1,1,275, 0 ,Unlimited,yes,5.60 USD,0.00047556 BTC 
11,Aug 05 2019,#12541,Fraud,Accounts & Bank Drops,Bank account,Jun 13 2019,blackpeteracc,2,100.0%,0,0,0,2,2,1116, 0 ,100,no,896.57 USD,0.07608924 BTC 
12,Aug 05 2019,#14237,Fraud,Other,QUEBEC OLD DL TEMPLATE ( PSD FILES),Jun 29 2019,makekota,2,100.0%,0,0,0,1,2,751, 0 ,Unlimited,no,100.00 USD,0.00848672 BTC 
13,Aug 05 2019,#5136,Fraud,Personal Informations & Scans,USA FULLZ with SSN D.O.B and DRIVERS LICENSE W/ Scans,Aug 18 2018,stanovo1ONLY,2,100.0%,2,3,200,1,2,11060, 27 ,Unlimited,yes,3.00 USD,0.00025460 BTC 
14,Aug 05 2019,#6542,Fraud,Accounts & Bank Drops,proof1,Dec 04 2018,seadweller,2,100.0%,4,5,1120,1,1,3360, 2 ,Unlimited,no,1.12 USD,0.00009511 BTC 
15,Aug 05 2019,#10459,Fraud,Accounts & Bank Drops,&#x2605 Bank Drop Creation Guide &#x2605 Virtual Carding Handbook 2.0 &#x2605 3 Methods All CCs to BTC,May 26 2019,Howtod3,2,100.0%,1,1,120,1,2,2557, 7 ,Unlimited,no,2.12 USD,0.00017976 BTC 
16,Aug 05 2019,#17259,Fraud,Accounts & Bank Drops,10 US Verified Paypal Accounts,Jul 28 2019,Dr.Whit3,2,100.0%,0,0,13,2,2,201, 0 ,Unlimited,no,10.09 USD,0.00085600 BTC 
17,Aug 05 2019,#16836,Fraud,Accounts & Bank Drops,HQ WELLS FARGO BANK DROP,Jul 26 2019,Newron,2,100.0%,0,0,0,2,2,261, 0 ,Unlimited,no,120.00 USD,0.01018407 BTC 
18,Aug 05 2019,#14234,Fraud,Other,Guide: Skimming Successfully And Protecting Yourself [High Quality],Jun 28 2019,wfowfo,2,100.0%,0,0,1,1,2,829, 0 ,Unlimited,no,11.76 USD,0.00099804 BTC 
19,Aug 05 2019,#14029,Fraud,Other,Cashout Websites | Custom-made | 100% Success Rate,Jun 25 2019,dp2015,2,100.0%,0,0,0,1,1,955, 0 ,Unlimited,no,175.00 USD,0.01485177 BTC 
20,Aug 05 2019,#7344,Fraud,Accounts & Bank Drops,HOW GET VBA/ VCC/OFFSHORE BANK + BONUS,May 09 2019,Hackyboy,2,100.0%,0,0,26,1,1,850, 0 ,Unlimited,no,5.00 USD,0.00042434 BTC 
21,Aug 05 2019,#14088,Fraud,CVV & Cards,CC NO VBV + Carding Guides,Jun 26 2019,Pegasus,2,100.0%,0,0,10,2,2,974, 2 ,42,no,12.00 USD,0.00101841 BTC 
22,Aug 05 2019,#7019,Fraud,Personal Informations & Scans,Megapack of documents and currency templates,Apr 14 2019,g3cko,2,100.0%,2,1,236,2,2,7431, 16 ,Unlimited,no,2.08 USD,0.00017652 BTC 
23,Aug 05 2019,#18162,Fraud,Accounts & Bank Drops,VERIZON ACCOUNTS + WITH FULL INFO,Aug 04 2019,shreateh,2,100.0%,0,0,0,1,2,43, 0 ,Unlimited,no,30.00 USD,0.00254602 BTC 
24,Aug 05 2019,#5124,Fraud,CVV & Cards,ITALIAN HIGH BALANCE FULLZ GOLD/BUSINESS/CORPORATE/GREEN/PREMIER,Aug 18 2018,SUDO,2,100.0%,4,5,1816,1,1,12464, 46 ,Unlimited,no,22.41 USD,0.00190223 BTC 
25,Aug 05 2019,#16457,Fraud,CVV & Cards,CVV to Moneygram 100% success,Jul 25 2019,careersclap,2,100.0%,0,0,7,1,1,275, 0 ,Unlimited,yes,5.60 USD,0.00047556 BTC 
26,Aug 05 2019,#12541,Fraud,Accounts & Bank Drops,Bank account,Jun 13 2019,blackpeteracc,2,100.0%,0,0,0,2,2,1116, 0 ,100,no,896.57 USD,0.07608924 BTC 
27,Aug 05 2019,#14237,Fraud,Other,QUEBEC OLD DL TEMPLATE ( PSD FILES),Jun 29 2019,makekota,2,100.0%,0,0,0,1,2,751, 0 ,Unlimited,no,100.00 USD,0.00848672 BTC 
28,Aug 05 2019,#5136,Fraud,Personal Informations & Scans,USA FULLZ with SSN D.O.B and DRIVERS LICENSE W/ Scans,Aug 18 2018,stanovo1ONLY,2,100.0%,2,3,200,1,2,11060, 27 ,Unlimited,yes,3.00 USD,0.00025460 BTC 
29,Aug 05 2019,#6542,Fraud,Accounts & Bank Drops,proof1,Dec 04 2018,seadweller,2,100.0%,4,5,1120,1,1,3360, 2 ,Unlimited,no,1.12 USD,0.00009511 BTC 
